Класс,Возраст,Пол,Выживший
1st,1883.0,female,1
1st,1910.0,female,0
1st,1882.0,male,0
1st,1887.0,female,0
1st,1911.08,male,1
1st,1865.0,male,1
1st,1849.0,female,1
1st,1873.0,male,0
1st,1854.0,female,1
1st,1841.0,male,0
1st,1865.0,male,0
1st,1893.0,female,1
1st,1882.0,female,1
1st,1882.0,male,1
1st,1882.0,male,0
1st,1862.0,female,1
1st,1888.0,male,0
1st,1876.0,male,0
1st,1875.0,male,1
1st,1865.0,female,1
1st,1886.0,male,1
1st,1887.0,male,0
1st,1887.0,male,1
1st,1893.0,female,1
1st,1884.0,male,1
1st,1867.0,male,0
1st,1873.0,male,1
1st,1882.0,female,1
1st,1854.0,female,1
1st,1882.0,male,0
1st,1867.0,female,1
1st,1890.0,female,1
1st,1882.0,male,1
1st,1871.0,male,0
1st,1864.0,male,0
1st,1882.0,male,0
1st,1868.0,female,1
1st,1853.0,female,1
1st,1852.0,female,1
1st,1867.0,male,0
1st,1882.0,male,1
1st,1859.0,female,1
1st,1854.0,female,1
1st,1876.0,male,1
1st,1879.0,male,0
1st,1882.0,male,0
1st,1882.0,male,0
1st,1876.0,male,1
1st,1876.0,female,1
1st,1898.0,female,1
1st,1901.0,male,1
1st,1863.0,male,0
1st,1882.0,female,1
1st,1876.0,male,0
1st,1882.0,female,1
1st,1866.0,male,0
1st,1865.0,female,1
1st,1885.0,male,1
1st,1881.0,female,1
1st,1882.0,female,1
1st,1882.0,male,1
1st,1882.0,female,1
1st,1882.0,male,0
1st,1885.0,male,0
1st,1886.0,female,1
1st,1882.0,male,0
1st,1882.0,male,0
1st,1848.0,female,1
1st,1875.0,male,0
1st,1873.0,female,1
1st,1857.0,female,1
1st,1882.0,male,0
1st,1842.0,male,0
1st,1843.0,female,1
1st,1876.0,female,1
1st,1873.0,male,0
1st,1874.0,female,1
1st,1882.0,male,1
1st,1885.0,male,1
1st,1881.0,male,0
1st,1885.0,female,1
1st,1882.0,female,1
1st,1881.0,male,1
1st,1895.0,female,1
1st,1882.0,male,1
1st,1882.0,female,1
1st,1908.0,male,1
1st,1885.0,female,1
1st,1862.0,male,0
1st,1864.0,female,1
1st,1863.0,male,1
1st,1864.0,female,1
1st,1873.0,male,0
1st,1889.0,female,1
1st,1859.0,female,1
1st,1876.0,female,0
1st,1882.0,female,1
1st,1882.0,male,1
1st,1882.0,male,0
1st,1888.0,female,1
1st,1893.0,male,0
1st,1884.0,female,1
1st,1889.0,female,1
1st,1848.0,male,0
1st,1852.0,female,1
1st,1882.0,male,0
1st,1863.0,male,1
1st,1882.0,female,1
1st,1868.0,male,1
1st,1890.0,female,1
1st,1852.0,male,1
1st,1864.0,female,1
1st,1875.0,male,0
1st,1877.0,female,1
1st,1865.0,male,0
1st,1890.0,female,1
1st,1867.0,female,1
1st,1863.0,male,1
1st,1882.0,female,1
1st,1841.0,male,0
1st,1858.0,male,1
1st,1874.0,male,0
1st,1893.0,female,1
1st,1854.0,female,1
1st,1867.0,female,1
1st,1889.0,male,1
1st,1866.0,male,0
1st,1887.0,male,1
1st,1891.0,female,1
1st,1864.0,male,1
1st,1863.0,female,1
1st,1867.0,male,0
1st,1876.0,female,1
1st,1882.0,male,1
1st,1857.0,male,0
1st,1860.0,female,1
1st,1888.0,female,1
1st,1882.0,male,0
1st,1882.0,male,0
1st,1882.0,male,0
1st,1896.0,female,1
1st,1868.0,female,1
1st,1861.0,female,1
1st,1870.0,male,0
1st,1877.0,female,1
1st,1877.0,male,1
1st,1874.0,male,1
1st,1877.0,female,1
1st,1882.0,male,0
1st,1862.0,female,0
1st,1863.0,male,1
1st,1866.0,male,0
1st,1882.0,male,0
1st,1854.0,male,0
1st,1871.0,male,0
1st,1882.0,female,1
1st,1870.0,male,1
1st,1872.0,female,1
1st,1882.0,male,0
1st,1882.0,female,1
1st,1882.0,male,0
1st,1870.0,male,0
1st,1857.0,female,1
1st,1862.0,female,1
1st,1896.0,female,1
1st,1882.0,male,0
1st,1883.0,male,0
1st,1891.0,female,1
1st,1882.0,male,0
1st,1897.0,female,1
1st,1882.0,male,0
1st,1882.0,male,1
1st,1882.0,male,0
1st,1882.0,female,1
1st,1866.0,male,0
1st,1858.0,male,0
1st,1876.0,male,1
1st,1884.0,male,0
1st,1882.0,female,1
1st,1847.0,male,0
1st,1879.0,female,1
1st,1868.0,male,0
1st,1875.0,female,1
1st,1882.0,male,1
1st,1857.0,male,0
1st,1865.0,male,0
1st,1876.0,male,0
1st,1854.0,male,0
1st,1881.0,female,1
1st,1889.0,female,1
1st,1893.0,female,1
1st,1848.0,male,0
1st,1882.0,male,1
1st,1848.0,male,0
1st,1890.0,female,1
1st,1884.0,male,0
1st,1882.0,male,0
1st,1882.0,male,0
1st,1890.0,male,0
1st,1882.0,male,0
1st,1882.0,female,1
1st,1894.0,male,0
1st,1895.0,female,1
1st,1860.0,male,1
1st,1866.0,male,0
1st,1856.0,female,1
1st,1882.0,male,0
1st,1882.0,male,1
1st,1869.0,female,1
1st,1881.0,male,0
1st,1882.0,male,1
1st,1882.0,male,0
1st,1879.0,female,1
1st,1882.0,male,0
1st,1885.0,female,1
1st,1857.0,male,0
1st,1858.0,female,1
1st,1882.0,male,0
1st,1851.0,male,0
1st,1864.0,female,1
1st,1894.0,female,1
1st,1899.0,male,1
1st,1891.0,female,1
1st,1882.0,male,1
1st,1882.0,male,1
1st,1882.0,female,1
1st,1878.0,male,1
1st,1872.0,female,1
1st,1876.0,male,1
1st,1862.0,male,0
1st,1873.0,female,1
1st,1856.0,male,1
1st,1884.0,male,1
1st,1856.0,male,0
1st,1856.0,male,0
1st,1888.0,male,0
1st,1894.0,female,1
1st,1882.0,male,0
1st,1888.0,male,1
1st,1889.0,female,1
1st,1867.0,male,1
1st,1872.0,female,1
1st,1906.0,male,1
1st,1855.0,male,0
1st,1882.0,female,1
1st,1880.0,male,1
1st,1850.0,male,0
1st,1858.0,male,1
1st,1869.0,female,1
1st,1860.0,female,1
1st,1882.0,male,0
1st,1850.0,female,1
1st,1845.0,male,0
1st,1849.0,female,0
1st,1851.0,male,0
1st,1866.0,female,1
1st,1860.0,male,0
1st,1873.0,female,1
1st,1894.0,female,1
1st,1864.0,male,1
1st,1882.0,female,1
1st,1863.0,male,0
1st,1873.0,female,1
1st,1895.0,male,1
1st,1866.0,male,0
1st,1882.0,female,1
1st,1881.0,male,1
1st,1882.0,male,0
1st,1851.0,male,0
1st,1865.0,male,0
1st,1848.0,male,0
1st,1852.0,female,1
1st,1852.0,male,0
1st,1857.0,female,1
1st,1858.0,male,0
1st,1891.0,male,0
1st,1855.0,male,0
1st,1867.0,female,1
1st,1881.0,female,1
1st,1862.0,male,0
1st,1862.0,female,1
1st,1885.0,male,0
1st,1892.0,female,1
1st,1861.0,male,0
1st,1882.0,male,0
1st,1891.0,male,1
1st,1882.0,male,1
1st,1882.0,male,0
1st,1876.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,male,0
1st,1882.0,female,0
1st,1882.0,female,1
1st,1882.0,male,0
1st,1882.0,female,1
1st,1882.0,male,0
1st,1882.0,male,0
1st,1872.0,male,0
1st,1882.0,male,0
1st,1882.0,female,1
1st,1880.0,male,0
1st,1882.0,female,1
1st,1882.0,female,1
1st,1882.0,male,0
1st,1882.0,female,1
1st,1882.0,female,0
1st,1882.0,female,1
1st,1879.0,male,0
1st,1882.0,male,0
1st,1882.0,female,1
1st,1882.0,female,0
1st,1882.0,female,0
1st,1882.0,female,1
2nd,1882.0,male,0
2nd,1884.0,female,1
2nd,1894.0,male,0
2nd,1882.0,male,0
2nd,1878.0,male,0
2nd,1880.0,female,1
2nd,1855.0,male,0
2nd,1894.0,male,0
2nd,1889.0,male,0
2nd,1876.0,female,1
2nd,1884.0,male,0
2nd,1861.0,male,0
2nd,1880.0,male,1
2nd,1893.0,female,1
2nd,1884.0,male,0
2nd,1876.0,female,1
2nd,1908.0,female,1
2nd,1911.0,male,1
2nd,1900.0,female,1
2nd,1878.0,male,1
2nd,1893.0,female,1
2nd,1889.0,male,0
2nd,1886.0,male,0
2nd,1882.0,male,0
2nd,1885.0,male,0
2nd,1897.0,female,1
2nd,1867.0,male,0
2nd,1872.0,female,1
2nd,1892.0,female,1
2nd,1887.0,male,0
2nd,1876.0,female,1
2nd,1887.0,male,0
2nd,1882.0,male,0
2nd,1870.0,female,1
2nd,1886.0,male,1
2nd,1886.0,female,1
2nd,1911.17,male,1
2nd,1881.0,female,1
2nd,1882.0,male,0
2nd,1893.0,male,0
2nd,1858.0,male,0
2nd,1868.0,female,0
2nd,1860.0,male,0
2nd,1882.0,male,0
2nd,1882.0,female,0
2nd,1882.0,female,1
2nd,1882.0,female,1
2nd,1883.0,male,0
2nd,1882.0,female,1
2nd,1883.0,male,0
2nd,1885.0,male,0
2nd,1888.0,male,1
2nd,1877.0,male,0
2nd,1881.0,female,1
2nd,1904.0,female,1
2nd,1890.0,female,0
2nd,1882.0,female,0
2nd,1882.0,female,0
2nd,1892.0,male,0
2nd,1882.0,male,0
2nd,1891.0,male,0
2nd,1863.0,female,1
2nd,1904.0,male,1
2nd,1884.0,female,1
2nd,1894.0,male,0
2nd,1882.0,male,0
2nd,1884.0,male,0
2nd,1890.0,female,1
2nd,1887.0,male,0
2nd,1894.0,male,0
2nd,1880.0,female,1
2nd,1894.0,female,1
2nd,1882.0,male,0
2nd,1870.0,male,0
2nd,1878.0,female,1
2nd,1904.0,male,1
2nd,1882.0,female,1
2nd,1882.0,female,1
2nd,1889.0,male,0
2nd,1891.0,male,0
2nd,1893.0,male,0
2nd,1882.0,male,0
2nd,1882.0,female,1
2nd,1882.0,male,0
2nd,1874.0,male,0
2nd,1882.0,male,0
2nd,1874.0,female,0
2nd,1877.0,male,0
2nd,1877.0,male,0
2nd,1874.0,male,0
2nd,1888.0,female,1
2nd,1896.0,male,0
2nd,1886.0,male,0
2nd,1867.0,male,0
2nd,1888.0,male,0
2nd,1891.0,male,0
2nd,1890.0,male,0
2nd,1882.0,male,0
2nd,1878.0,male,0
2nd,1882.0,male,0
2nd,1862.0,male,0
2nd,1882.0,male,0
2nd,1889.0,female,1
2nd,1911.0,male,1
2nd,1868.0,male,0
2nd,1884.0,male,0
2nd,1906.0,female,1
2nd,1882.0,male,1
2nd,1882.0,male,0
2nd,1869.0,male,0
2nd,1867.0,female,1
2nd,1905.0,female,1
2nd,1888.0,female,1
2nd,1888.0,female,1
2nd,1863.0,male,0
2nd,1864.0,female,1
2nd,1882.0,female,1
2nd,1878.0,male,0
2nd,1880.0,male,0
2nd,1891.0,male,0
2nd,1894.0,female,0
2nd,1859.0,female,1
2nd,1889.0,male,0
2nd,1891.0,female,1
2nd,1882.0,male,0
2nd,1860.0,male,0
2nd,1870.0,male,0
2nd,1876.0,female,1
2nd,1891.0,male,0
2nd,1871.0,male,1
2nd,1882.0,male,0
2nd,1882.0,female,0
2nd,1879.0,male,0
2nd,1895.0,female,1
1882.0,1882.0,male,0
2nd,1882.0,female,1
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1889.0,female,1
2nd,1878.0,male,0
2nd,1882.0,female,1
2nd,1890.0,female,0
2nd,1882.0,male,0
2nd,1882.0,female,1
2nd,1867.0,female,1
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1881.0,male,0
2nd,1882.0,male,0
2nd,1886.0,female,0
2nd,1882.0,male,0
2nd,1878.0,female,1
2nd,1886.0,male,0
2nd,1890.0,female,1
2nd,1911.0,female,1
2nd,1909.0,female,1
2nd,1882.0,female,1
2nd,1882.0,female,1
2nd,1882.0,male,0
2nd,1887.0,male,0
2nd,1882.0,male,0
2nd,1864.0,male,0
2nd,1882.0,female,1
2nd,1855.0,female,0
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1882.0,female,1
2nd,1910.0,male,1
2nd,1882.0,male,0
2nd,1885.0,male,0
2nd,1893.0,female,1
2nd,1882.0,male,0
2nd,1892.0,male,0
2nd,1867.0,male,0
2nd,1882.0,male,0
2nd,1866.0,male,0
2nd,1871.0,female,1
2nd,1899.0,female,1
2nd,1893.0,male,1
2nd,1882.0,male,0
2nd,1864.0,male,0
2nd,1841.0,male,0
2nd,1858.0,male,0
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1848.0,male,0
2nd,1880.0,male,0
2nd,1894.0,female,1
2nd,1910.0,male,1
2nd,1880.0,male,0
2nd,1909.0,male,1
2nd,1886.0,male,0
2nd,1893.0,male,0
2nd,1882.0,male,0
2nd,1892.0,male,1
2nd,1883.0,female,1
2nd,1873.0,male,0
2nd,1890.0,male,1
2nd,1882.0,male,1
2nd,1888.0,male,0
2nd,1882.0,male,1
2nd,1884.0,male,0
2nd,1882.0,male,0
2nd,1862.0,female,1
2nd,1892.0,male,0
2nd,1872.0,male,0
2nd,1870.0,female,1
2nd,1891.0,male,0
2nd,1880.0,female,1
2nd,1878.0,male,0
2nd,1882.0,male,1
2nd,1882.0,male,0
2nd,1879.0,female,1
2nd,1910.0,female,1
2nd,1904.0,female,1
2nd,1876.0,male,0
2nd,1878.0,male,0
2nd,1882.0,female,1
2nd,1884.0,female,1
2nd,1889.0,male,0
2nd,1911.2,male,1
2nd,1887.0,female,1
2nd,1909.0,male,1
2nd,1862.0,female,1
2nd,1882.0,male,0
2nd,1891.0,female,1
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1887.0,female,1
2nd,1894.0,female,1
2nd,1892.0,female,1
2nd,1882.0,female,1
2nd,1853.0,male,0
2nd,1882.0,female,1
2nd,1877.0,male,0
2nd,1890.0,male,0
2nd,1882.0,female,1
2nd,1887.0,male,0
2nd,1871.0,male,0
2nd,1887.0,male,0
2nd,1898.0,male,0
2nd,1862.0,female,1
2nd,1890.0,male,0
2nd,1882.0,female,1
2nd,1885.0,female,1
2nd,1883.0,male,0
2nd,1885.0,female,0
2nd,1882.0,male,0
2nd,1890.0,male,0
2nd,1877.0,female,1
2nd,1882.0,male,0
2nd,1884.0,female,1
2nd,1889.0,male,0
2nd,1882.0,male,0
2nd,1900.0,female,1
2nd,1872.0,female,1
2nd,1876.0,female,1
2nd,1884.0,male,0
2nd,1880.0,female,1
2nd,1883.0,female,1
2nd,1908.0,female,1
2nd,1910.0,male,1
2nd,1882.0,female,1
2nd,1882.0,female,1
2nd,1876.0,male,0
2nd,1879.0,female,1
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1882.0,male,0
2nd,1880.0,male,1
2nd,1882.0,female,1
2nd,1882.0,male,1
2nd,1886.0,female,1
2nd,1882.0,female,0
2nd,1882.0,male,0
2nd,1888.0,female,1
2nd,1882.0,male,0
2nd,1894.0,male,0
3rd,1870.0,male,0
3rd,1899.0,male,0
3rd,1896.0,male,0
3rd,1877.0,female,1
3rd,1896.0,female,1
3rd,1887.0,male,1
3rd,1894.0,female,1
3rd,1892.0,male,1
3rd,1882.0,male,0
3rd,1886.0,male,0
3rd,1872.0,female,0
3rd,1888.0,male,0
3rd,1871.0,male,0
3rd,1894.0,female,1
3rd,1911.17,male,1
3rd,1889.0,male,0
3rd,1892.0,male,0
3rd,1887.0,male,0
3rd,1877.0,male,0
3rd,1895.0,male,0
3rd,1880.0,male,0
3rd,1892.0,male,0
3rd,1873.0,male,0
3rd,1873.0,female,0
3rd,1906.0,female,0
3rd,1910.0,female,0
3rd,1895.0,female,1
3rd,1874.0,female,0
3rd,1903.0,female,0
3rd,1886.0,male,0
3rd,1901.0,female,0
3rd,1908.0,male,0
3rd,1892.0,male,0
3rd,1886.0,male,0
3rd,1887.0,male,0
3rd,1894.0,female,0
3rd,1888.0,male,0
3rd,1877.0,male,0
3rd,1872.0,male,0
3rd,1874.0,female,1
3rd,1907.0,male,0
3rd,1903.0,male,0
3rd,1909.0,male,1
3rd,1899.0,male,0
3rd,1889.0,male,1
3rd,1907.0,female,1
3rd,1882.0,male,0
3rd,1867.0,female,1
3rd,1889.0,male,0
